SampleID	Complete	Single-copy	Duplicated	Fragmented	Missing	Total
Alatina_alata_BNNLv1-TRANS	96.5% (246)	76.5% (195)	20.0% (51)	2.4% (6)	1.1% (3)	100% (255)
Anthopleura_elegantissima_REEFv1	62.0% (158)	60.4% (154)	1.6% (4)	26.3% (67)	11.7% (30)	100% (255)
Calvadosia_cruxmelitensis_CRGBv3.2-TRANS	87.9% (224)	66.7% (170)	21.2% (54)	9.8% (25)	2.3% (6)	100% (255)
Calvadosia_cruxmelitensis_NANAv1	75.7% (193)	69.8% (178)	5.9% (15)	14.1% (36)	10.2% (26)	100% (255)
Cassiopea_xamachana_T1-Av2	53.0% (135)	51.0% (130)	2.0% (5)	20.8% (53)	26.2% (67)	100% (255)
Cassiopea_xamachana_T1-Av2-TRANS	62.7% (160)	43.5% (111)	19.2% (49)	30.6% (78)	6.7% (17)	100% (255)
Corallium_rubrum_MRFRv1	92.9% (237)	87.8% (224)	5.1% (13)	0.8% (2)	6.3% (16)	100% (255)
Corynactis_australis_JBAUv1	78.0% (199)	77.6% (198)	0.4% (1)	12.9% (33)	9.1% (23)	100% (255)
Craterolophus_convolvulus_RYUSv1	45.9% (117)	37.3% (95)	8.6% (22)	35.3% (90)	18.8% (48)	100% (255)
Dynamena_pumila_WSRUv1	98.0% (250)	68.2% (174)	29.8% (76)	1.2% (3)	0.8% (2)	100% (255)
Gorgonia_ventalina_LRPRv1	78.8% (201)	68.6% (175)	10.2% (26)	16.9% (43)	4.3% (11)	100% (255)
Haliclystus_auricula_NANAv1	50.6% (129)	43.1% (110)	7.5% (19)	28.2% (72)	21.2% (54)	100% (255)
Haliclystus_sanjuanensis_SJUSv1	50.6% (129)	44.3% (113)	6.3% (16)	32.9% (84)	16.5% (42)	100% (255)
Hydra_oligactis_GNCHv1	93.7% (239)	89.4% (228)	4.3% (11)	3.9% (10)	2.4% (6)	100% (255)
Kudoa_iwatai_RSILv1	51.0% (130)	50.2% (128)	0.8% (2)	14.5% (37)	34.5% (88)	100% (255)
Lucernaria_quadricornis_AIUSv1	72.9% (186)	69.8% (178)	3.1% (8)	17.6% (45)	9.5% (24)	100% (255)
Millepora_alcicornis_PRUSv1	96.9% (247)	81.6% (208)	15.3% (39)	1.6% (4)	1.5% (4)	100% (255)
Millepora_complanata_PRUSv1	95.7% (244)	78.4% (200)	17.3% (44)	2.7% (7)	1.6% (4)	100% (255)
Millepora_sp_RR-2016_PRUSv1	96.5% (246)	76.5% (195)	20.0% (51)	2.7% (7)	0.8% (2)	100% (255)
Millepora_squarrosa_PRUSv1	97.7% (249)	76.5% (195)	21.2% (54)	1.6% (4)	0.7% (2)	100% (255)
Myxobolus_cerebralis_NANAv1	41.2% (105)	20.4% (52)	20.8% (53)	20.0% (51)	38.8% (99)	100% (255)
Myxobolus_pendula_ONCAv1	0.0% (0)	0.0% (0)	0.0% (0)	0.4% (1)	99.6% (254)	100% (255)
Pachycerianthus_borealis_NANAv1	24.7% (63)	23.5% (60)	1.2% (3)	25.5% (65)	49.8% (127)	100% (255)
Palythoa_variabilis_PCBRv1	85.9% (219)	67.5% (172)	18.4% (47)	9.0% (23)	5.1% (13)	100% (255)
Physalia_physalis_OKJPv1	86.7% (221)	70.6% (180)	16.1% (41)	7.5% (19)	5.8% (15)	100% (255)
Plexaura_homomalla_PRUSv1	94.9% (242)	77.6% (198)	17.3% (44)	2.4% (6)	2.7% (7)	100% (255)
Plexaura_kukenthali_PRUSv1	56.9% (145)	44.7% (114)	12.2% (31)	24.3% (62)	18.8% (48)	100% (255)
Podocoryna_carnea_NANAv1	96.5% (246)	5.5% (14)	91.0% (232)	2.4% (6)	1.1% (3)	100% (255)
Polypodium_hydriforme_OKUSv1	78.4% (200)	14.9% (38)	63.5% (162)	14.5% (37)	7.1% (18)	100% (255)
Porpita_porpita_YOJPv1	91.4% (233)	64.3% (164)	27.1% (69)	6.7% (17)	1.9% (5)	100% (255)
Rhodactis_indosinensis_NATWv1	67.1% (171)	66.3% (169)	0.8% (2)	8.6% (22)	24.3% (62)	100% (255)
Ricordea_yuma_NAAUv1	78.4% (200)	77.6% (198)	0.8% (2)	6.7% (17)	14.9% (38)	100% (255)
Tripedalia_cystophora_Conant1897_1897v1	89.8% (229)	16.5% (42)	73.3% (187)	2.4% (6)	7.8% (20)	100% (255)
Turritopsis_sp_SK-2016_TBJPv1	78.4% (200)	13.7% (35)	64.7% (165)	9.4% (24)	12.2% (31)	100% (255)
Velella_velella_OKJPv1	80.0% (204)	54.9% (140)	25.1% (64)	13.7% (35)	6.3% (16)	100% (255)
