query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	qlen	tlen	qtmscore	ttmscore	alntmscore	rmsd	prob	taxid	taxname	taxlineage	qcovpct	tcovpct
proteins/Montipora_capitata_KBHIv3___RNAseq.g13648.t1.faa.colabfold/plots/0.pdb	7bgh_A	0.334	637	306	9	154	784	1	525	1.214E-26	1328	1026	530	4.397E-01	7.985E-01	7.985E-01	5.003E+00	1.000	3888	Pisum sativum	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_fabids;o_Fabales;f_Fabaceae;-_Papilionoideae;-_50 kb inversion clade;-_NPAAA clade;-_Hologalegina;-_IRL clade;-_Fabeae;g_Pisum;s_Pisum sativum	61.501	99.0566
proteins/Montipora_capitata_KBHIv3___RNAseq.g13842.t1.faa.colabfold/plots/0.pdb	3iz3_D	0.509	265	122	5	22	285	182	439	2.284E-36	1246	285	439	8.632E-01	5.657E-01	5.657E-01	1.842E+00	1.000	110829	Bombyx mori cypovirus 1	d_Viruses;-_Riboviria;k_Orthornavirae;p_Duplornaviricota;c_Resentoviricetes;o_Reovirales;f_Spinareoviridae;g_Cypovirus;s_Cypovirus 1;-_Bombyx mori cypovirus 1	92.6316	58.7699
proteins/Montipora_capitata_KBHIv3___RNAseq.g14436.t1.faa.colabfold/plots/0.pdb	1b12_D	0.850	414	51	1	30	443	1	403	3.175E-36	1729	443	403	7.812E-01	8.527E-01	8.527E-01	4.772E+00	1.000	469008	Escherichia coli BL21(DE3)	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli;-_Escherichia coli BL21(DE3)	93.4537	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g14522.t1.faa.colabfold/plots/0.pdb	6eka_B	0.299	672	349	20	1	637	1	585	2.142E-43	1569	639	588	7.788E-01	8.431E-01	8.431E-01	6.645E+00	1.000	515849	Podospora anserina S mat+	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Sordariomycetidae;o_Sordariales;f_Podosporaceae;g_Podospora;s_Podospora anserina;-_Podospora anserina S mat+	99.687	99.4898
proteins/Montipora_capitata_KBHIv3___RNAseq.g14698.t1.faa.colabfold/plots/0.pdb	2eno_A	0.807	151	29	0	113	263	2	152	6.011E-26	953	263	152	5.689E-01	9.793E-01	9.793E-01	6.617E-01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	57.4144	99.3421
proteins/Montipora_capitata_KBHIv3___RNAseq.g14764.t1.faa.colabfold/plots/0.pdb	3ara_A	0.418	418	191	5	30	447	3	368	4.305E-45	1569	470	371	7.154E-01	8.965E-01	8.965E-01	3.440E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	88.9362	98.6523
proteins/Montipora_capitata_KBHIv3___RNAseq.g14766.t1.faa.colabfold/plots/0.pdb	8ez4_H	0.697	142	43	0	7	148	1	142	5.681E-19	642	283	143	4.151E-01	7.395E-01	7.395E-01	3.430E+00	1.000	5833	Plasmodium falciparum	-_cellular organisms;d_Eukaryota;-_Sar;-_Alveolata;p_Apicomplexa;c_Aconoidasida;o_Haemosporida;f_Plasmodiidae;g_Plasmodium;-_Plasmodium (Laverania);s_Plasmodium falciparum	50.1767	99.3007
proteins/Montipora_capitata_KBHIv3___RNAseq.g14949.t1.faa.colabfold/plots/0.pdb	3dva_F	0.452	307	136	5	1	307	1	275	2.134E-20	588	307	275	5.374E-01	5.914E-01	5.914E-01	2.376E+01	1.000	1422	Geobacillus stearothermophilus	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Geobacillus;s_Geobacillus stearothermophilus	100	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g15020.t1.faa.colabfold/plots/0.pdb	3jah_RR	0.280	203	140	4	37	233	7	209	2.603E-16	571	281	216	6.023E-01	7.704E-01	7.704E-01	5.099E+00	1.000	9986	Oryctolagus cuniculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Lagomorpha;f_Leporidae;g_Oryctolagus;s_Oryctolagus cuniculus	70.1068	93.9815
proteins/Montipora_capitata_KBHIv3___RNAseq.g15157.t1.faa.colabfold/plots/0.pdb	6ec6_B	0.587	296	119	2	1	296	2	294	4.433E-49	1905	297	294	9.762E-01	9.861E-01	9.861E-01	7.980E-01	1.000	33038	[Ruminococcus] gnavus	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Mediterraneibacter;s_[Ruminococcus] gnavus	99.6633	99.6599
proteins/Montipora_capitata_KBHIv3___RNAseq.g15168.t1.faa.colabfold/plots/0.pdb	8ekc_g	0.769	195	45	0	45	239	1	195	1.713E-25	1021	239	195	7.336E-01	8.921E-01	8.921E-01	5.859E+00	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	81.59	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g15310.t1.faa.colabfold/plots/0.pdb	3hf9_y	0.700	387	116	0	19	405	58	444	2.070E-56	2401	410	446	9.353E-01	8.602E-01	8.602E-01	7.968E-01	1.000	1773	Mycobacterium tuberculosis	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium;-_Mycobacterium tuberculosis complex;s_Mycobacterium tuberculosis	94.3902	86.7713
proteins/Montipora_capitata_KBHIv3___RNAseq.g1540.t1.faa.colabfold/plots/0.pdb	8f7w_C	0.414	335	176	3	2	335	83	398	1.089E-41	1497	337	398	9.149E-01	7.765E-01	7.765E-01	1.208E+00	1.000	9913	Bos taurus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Laurasiatheria;o_Artiodactyla;-_Ruminantia;-_Pecora;f_Bovidae;-_Bovinae;g_Bos;s_Bos taurus	99.1098	79.397
proteins/Montipora_capitata_KBHIv3___RNAseq.g15648.t1.faa.colabfold/plots/0.pdb	5gpe_C	0.128	350	244	15	25	366	1	297	8.994E-12	394	445	298	5.134E-01	7.444E-01	7.444E-01	1.056E+01	1.000	266264	Cupriavidus metallidurans CH34	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Cupriavidus;s_Cupriavidus metallidurans;-_Cupriavidus metallidurans CH34	76.8539	99.6644
proteins/Montipora_capitata_KBHIv3___RNAseq.g15693.t1.faa.colabfold/plots/0.pdb	7btq_A	0.126	583	338	31	5	475	9	531	9.156E-07	236	488	541	6.006E-01	5.491E-01	5.491E-01	9.483E+00	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	96.5164	96.6728
proteins/Montipora_capitata_KBHIv3___RNAseq.g15935.t1.faa.colabfold/plots/0.pdb	8egr_R	0.326	156	98	3	9	162	2	152	2.450E-13	410	255	153	5.021E-01	8.192E-01	8.192E-01	1.059E+01	1.000	1958907	Staphylococcus phage Andhra	d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Rountreeviridae;-_Rakietenvirinae;g_Andhravirus;s_Andhravirus andhra;-_Staphylococcus phage Andhra	60.3922	98.6928
proteins/Montipora_capitata_KBHIv3___RNAseq.g17973.t1.faa.colabfold/plots/0.pdb	1g59_C	0.870	85	11	0	10	94	1	85	6.615E-14	601	99	85	8.089E-01	9.357E-01	9.357E-01	1.412E+00	1.000	274	Thermus thermophilus	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Deinococcota;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Thermus thermophilus	85.8586	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g18059.t1.faa.colabfold/plots/0.pdb	6id1_g	0.624	373	134	4	50	419	2	371	5.542E-59	2285	420	371	8.645E-01	9.777E-01	9.777E-01	9.096E-01	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	88.0952	99.7305
proteins/Montipora_capitata_KBHIv3___RNAseq.g18186.t1.faa.colabfold/plots/0.pdb	3ij6_A	0.812	80	15	0	27	106	9	88	3.020E-07	288	283	92	2.672E-01	7.766E-01	7.766E-01	2.047E+00	1.000	1579	Lactobacillus acidophilus	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus acidophilus	28.2686	86.9565
proteins/Montipora_capitata_KBHIv3___RNAseq.g18329.t1.faa.colabfold/plots/0.pdb	7dr2_bF	0.694	389	119	0	1	389	1	389	3.970E-32	1578	389	389	8.925E-01	8.925E-01	8.925E-01	5.975E+00	1.000	2762	Cyanophora paradoxa	-_cellular organisms;d_Eukaryota;c_Glaucocystophyceae;f_Cyanophoraceae;g_Cyanophora;s_Cyanophora paradoxa	100	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g18395.t1.faa.colabfold/plots/0.pdb	3foo_L	0.408	93	55	0	28	120	2	94	1.896E-10	466	120	94	7.489E-01	9.483E-01	9.483E-01	9.275E-01	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	77.5	98.9362
proteins/Montipora_capitata_KBHIv3___RNAseq.g19612.t1.faa.colabfold/plots/0.pdb	2g07_A	0.524	757	227	10	165	918	6	632	5.163E-50	2312	994	638	5.868E-01	9.001E-01	9.001E-01	4.001E+00	1.000	10090	Mus musculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	75.8551	98.2759
proteins/Montipora_capitata_KBHIv3___RNAseq.g19766.t1.faa.colabfold/plots/0.pdb	6bvv_B	0.409	671	304	11	21	680	2	590	6.872E-59	1967	692	591	6.054E-01	7.061E-01	7.061E-01	1.462E+01	1.000	121791	Nipah henipavirus	d_Viruses;-_Riboviria;k_Orthornavirae;p_Negarnaviricota;-_Haploviricotina;c_Monjiviricetes;o_Mononegavirales;f_Paramyxoviridae;-_Orthoparamyxovirinae;g_Henipavirus;s_Nipah henipavirus	95.3757	99.6616
proteins/Montipora_capitata_KBHIv3___RNAseq.g19800.t1.faa.colabfold/plots/0.pdb	8cvi_D	0.594	217	88	0	45	261	1	217	7.422E-33	1329	263	217	8.081E-01	9.762E-01	9.762E-01	1.238E+00	1.000	562	Escherichia coli	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	82.5095	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g20270.t1.faa.colabfold/plots/0.pdb	7dr2_bJ	0.531	378	173	2	1	376	1	376	2.715E-27	1304	376	376	9.150E-01	9.150E-01	9.150E-01	2.582E+00	1.000	2762	Cyanophora paradoxa	-_cellular organisms;d_Eukaryota;c_Glaucocystophyceae;f_Cyanophoraceae;g_Cyanophora;s_Cyanophora paradoxa	100	100
proteins/Montipora_capitata_KBHIv3___RNAseq.g20397.t1.faa.colabfold/plots/0.pdb	2fbs_N	0.617	525	197	2	2	524	5	527	2.807E-44	2487	686	528	7.288E-01	9.388E-01	9.388E-01	2.050E+00	1.000	0	unclassified	unclassified	76.2391	99.053
proteins/Montipora_capitata_KBHIv3___RNAseq.g21699.t1.faa.colabfold/plots/0.pdb	2ep3_A	0.145	434	194	25	46	355	2	382	9.152E-07	240	950	382	2.394E-01	5.594E-01	5.594E-01	5.572E+00	1.000	9606	Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	32.6316	99.7382
proteins/Montipora_capitata_KBHIv3___RNAseq.g21715.t1.faa.colabfold/plots/0.pdb	6g8m_G	0.258	560	318	18	158	678	2	502	2.438E-20	917	786	508	5.186E-01	7.770E-01	7.770E-01	6.436E+00	1.000	559292	Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	66.285	98.622
proteins/Montipora_capitata_KBHIv3___RNAseq.g22110.t1.faa.colabfold/plots/0.pdb	8fjk_F	0.370	618	362	11	76	676	3	610	1.143E-61	2761	676	610	8.526E-01	9.434E-01	9.434E-01	1.821E+00	1.000	185783	Golden shiner reovirus	d_Viruses;-_Riboviria;k_Orthornavirae;p_Duplornaviricota;c_Resentoviricetes;o_Reovirales;f_Spinareoviridae;g_Aquareovirus;s_Aquareovirus C;-_Golden shiner reovirus	88.9053	99.6721
